city,Rural,Urbain
ABENGOUROU,13.75,86.25
ABIDJAN,0.0,100.0
ABIGUI,100.0,0.0
ABOISSO,47.5,52.5
ABOISSO-COMOE,50.36,49.64
ABONGOUA,0.0,100.0
ABOUDE,0.0,100.0
ADAOU,100.0,0.0
ADIAKE,64.74,35.26
ADJOUAN,100.0,0.0
ADZOPE,23.72,76.28
AFFERY,53.61,46.39
AGBOVILLE,36.69,63.31
AGNIBILEKROU,22.97,77.03
AGOU,100.0,0.0
AHOUANOU,29.34,70.66
AKOBOISSUE,100.0,0.0
AKOUPE,79.17,20.83
ALEPE,100.0,0.0
ALLOSSO,0.0,100.0
AMELEKIA,62.86,37.14
ANANDA,100.0,0.0
ANANGUIE,0.0,100.0
ANDE,81.3,18.7
ANDO-KEKRENOU,100.0,0.0
ANGODA,100.0,0.0
ANIASSUE,100.0,0.0
ANNEPE,100.0,0.0
ANOUMABA,100.0,0.0
ANYAMA,38.8,61.2
ARRHA,0.0,100.0
ASSAHARA,100.0,0.0
ASSIE-KOUMASSI,100.0,0.0
ASSIKOI,100.0,0.0
ASSUEFRY,100.0,0.0
ATTIEGOUAKRO,100.0,0.0
ATTOBROU,0.0,100.0
ATTOUTOU,100.0,0.0
AYAME,100.0,0.0
AYAOU-SRAN,100.0,0.0
AZAGUIE,47.19,52.81
BACANDA,100.0,0.0
BADIKAHA,100.0,0.0
BAGOHOUO,45.08,54.92
BAKO,100.0,0.0
BAKOUBLY,100.0,0.0
BANGOLO,100.0,0.0
BASSAWA,100.0,0.0
BAYOTA,67.57,32.43
BAZRA-NATTIS,100.0,0.0
BAZRE,100.0,0.0
BECEDI-BRIGNAN,0.0,100.0
BECOUEFIN,100.0,0.0
BEDIALA,100.0,0.0
BEDY-GOAZON,0.0,100.0
BEGBESSOU,100.0,0.0
BENGASSOU,100.0,0.0
BEOUMI,100.0,0.0
BETTIE,53.61,46.39
BIANKOUMA,49.19,50.81
BIANOUAN,100.0,0.0
BIEBY,0.0,100.0
BILIMORO,100.0,0.0
BIN-HOUYE,0.0,100.0
BINGERVILLE,48.89,51.11
BLAPLEU,100.0,0.0
BLENIMEOUIN,47.57,52.43
BLESSEGUE,100.0,0.0
BLOLEQUIN,59.53,40.47
BOBI,0.0,100.0
BOCANDA,84.64,15.36
BODOKRO,100.0,0.0
BOGUEDIA,100.0,0.0
BOLI,100.0,0.0
BONDO,100.0,0.0
BONDOUKOU,15.87,84.13
BONGO,100.0,0.0
BONGOUANOU,46.95,53.05
BONGUERA,100.0,0.0
BONIEREDOUGOU,50.0,50.0
BONON,19.38,80.62
BONOUA,51.75,48.25
BOOKO,41.77,58.23
BORON,100.0,0.0
BOROTOU,0.0,100.0
BOTRO,0.0,100.0
BOUAFLE,53.28,46.72
BOUAKE,9.44,90.56
BOUANDOUGOU,52.21,47.79
BOUGOU,100.0,0.0
BOUGOUSSO,100.0,0.0
BOUKO,100.0,0.0
BOUNA,64.71,35.29
BOUNDA,100.0,0.0
BOUNDIALI,44.47,55.53
BUYO,70.15,29.85
CECHI,100.0,0.0
CHIEPO,100.0,0.0
DABAKALA,75.11,24.89
DABOU,26.32,73.68
DABOUYO,100.0,0.0
DAHIEPA-KEHI,100.0,0.0
DAHIRI,40.0,60.0
DAIRO-DIDIZO,70.0,30.0
DAKPADOU,64.93,35.07
DALEU,100.0,0.0
DALOA,20.79,79.21
DAME,0.0,100.0
DANANE,23.47,76.53
DANANON,100.0,0.0
DANGUIRA,62.96,37.04
DANIA,100.0,0.0
DANOA,100.0,0.0
DAOUKRO,30.37,69.63
DAPEOUA,78.07,21.93
DIABO,0.0,100.0
DIAMARAKRO,100.0,0.0
DIANGOKRO,100.0,0.0
DIANRA,53.42,46.58
DIANRA-VILLAGE,71.65,28.35
DIARABANA,100.0,0.0
DIAWALA,75.57,24.43
DIBRI-ASRIKRO,100.0,0.0
DIDIEVI,100.0,0.0
DIDOKO,100.0,0.0
DIEGONEFLA,63.46,36.54
DIEOUZON,100.0,0.0
DIGNAGO,100.0,0.0
DIKODOUGOU,41.84,58.16
DIMANDOUGOU,100.0,0.0
DIMBOKRO,36.22,63.78
DIOULATIEDOUGOU,100.0,0.0
DIVO,28.48,71.52
DJAMANDIOKE,100.0,0.0
DJEBONOUA,100.0,0.0
DJEKANOU,100.0,0.0
DJIBROSSO,0.0,100.0
DJOUROUTOU,100.0,0.0
DOBA,77.24,22.76
DOGBO,0.0,100.0
DOKE,100.0,0.0
DOROPO,63.52,36.48
DOUGROUPALEGNOA,100.0,0.0
DOUKOUYO,100.0,0.0
DUALLA,0.0,100.0
DUEKOUE,58.64,41.36
DUFFREBO,72.62,27.38
EBILASSOKRO,0.0,100.0
EBONOU,100.0,0.0
ETTROKRO,100.0,0.0
ETUEBOUE,100.0,0.0
FACOBLY,100.0,0.0
FADIADOUGOU,0.0,100.0
FAGNAMPLEU,100.0,0.0
FAMIENKRO,100.0,0.0
FENGOLO,100.0,0.0
FERKESSEDOUGOU,57.79,42.21
FOUMBOLO,100.0,0.0
FOUNGBESSO,100.0,0.0
FRESCO,68.95,31.05
FRONAN,44.66,55.34
GABIADJI,80.8,19.2
GADOUAN,100.0,0.0
GAGNOA,14.94,85.06
GAGORE,100.0,0.0
GALEBOUO,64.86,35.14
GANAONI,100.0,0.0
GBAGBAM,54.55,45.45
GBAPLEU,46.51,53.49
GBOGUHE,100.0,0.0
GBOLOUVILLE,100.0,0.0
GBON,100.0,0.0
GBON-HOUYE,100.0,0.0
GBONGAHA,100.0,0.0
GBONNE,100.0,0.0
GNAMANGUI,100.0,0.0
GODOUKO,100.0,0.0
GOGO,100.0,0.0
GOHITAFLA,100.0,0.0
GOHOUO-ZAGNA,0.0,100.0
GOMON,44.21,55.79
GONATE,0.0,100.0
GOUEKAN,100.0,0.0
GOUINE,100.0,0.0
GOULALEU,100.0,0.0
GOULIA,83.84,16.16
GOUMERE,100.0,0.0
GRABO,37.5,62.5
GRAND-BASSAM,0.0,100.0
GRAND-BEREBY,100.0,0.0
GRAND-LAHOU,58.0,42.0
GRAND-MORIE,100.0,0.0
GRAND-ZATTRY,75.67,24.33
GREGBEU,100.0,0.0
GRIHIRI,65.05,34.95
GUEHIEBLY,55.7,44.3
GUEPAHOUO,58.26,41.74
GUESSABO,100.0,0.0
GUESSIGUIE,100.0,0.0
GUEYO,100.0,0.0
GUEZON_DUEKOUE,100.0,0.0
GUEZON_FACOBLY,100.0,0.0
GUIBEROUA,61.46,38.54
GUIEMBE,100.0,0.0
GUIGLO,49.31,50.69
GUINGLO-TAHOUAKE,100.0,0.0
GUINTEGUELA,73.26,26.74
GUITRY,100.0,0.0
HIRE,43.18,56.82
IBOGUHE,100.0,0.0
ISSIA,39.69,60.31
JACQUEVILLE,43.27,56.73
KAADE,100.0,0.0
KAHIN-ZARABAON,67.72,32.28
KAKPIN,100.0,0.0
KAMALO,100.0,0.0
KANAKONO,47.66,52.34
KANI,66.08,33.92
KANIASSO,100.0,0.0
KANOROBA,100.0,0.0
KANZRA,100.0,0.0
KAOUARA,100.0,0.0
KARAKORO,100.0,0.0
KASSERE,100.0,0.0
KATIOLA,25.0,75.0
KATOGO,0.0,100.0
KETRO BASSAM,100.0,0.0
KIEMOU,100.0,0.0
KIMBIRILA-NORD,100.0,0.0
KIMBIRILA-SUD,100.0,0.0
KOFFI-AMONKRO,100.0,0.0
KOKOMIAN,100.0,0.0
KOKUMBO,50.43,49.57
KOLIA,48.81,51.19
KOMBORODOUGOU,100.0,0.0
KONDOSSOU,100.0,0.0
KONG,100.0,0.0
KONGASSO,100.0,0.0
KONI,100.0,0.0
KONONFLA,35.11,64.89
KORHOGO,19.86,80.14
KORO,100.0,0.0
KOSSOU,51.72,48.28
KOTOBI,49.49,50.51
KOUA,100.0,0.0
KOUADIOBLEKRO,100.0,0.0
KOUAKRO,100.0,0.0
KOUAN-HOULE,100.0,0.0
KOUASSI-DATTEKRO,100.0,0.0
KOUASSI-KOUASSIKRO,66.07,33.93
KOUASSI-NIAGUNI,100.0,0.0
KOUETINFLA,100.0,0.0
KOUIBLY,63.16,36.84
KOUMBALA,100.0,0.0
KOUN-FAO,100.0,0.0
KOUNAHIRI,62.05,37.95
KOUTO,68.26,31.74
KPOUEBO,100.0,0.0
KREGBE,45.36,54.64
KROFOINSOU,100.0,0.0
LAKOTA,43.53,56.47
LANGUIBONOU,100.0,0.0
LAOUD-IBA,100.0,0.0
LATAHA,100.0,0.0
LAUZOUA,100.0,0.0
LILIYO,100.0,0.0
LOBAKUYA,100.0,0.0
LOGOUALE,0.0,100.0
LOLOBO,100.0,0.0
LOLOBO DE BEOUMI,100.0,0.0
LOMOKANKRO,100.0,0.0
LOPOU,100.0,0.0
LOVIGUIE,100.0,0.0
M'BAHIAKRO,77.29,22.71
M'BATTO,74.78,25.22
M'BENGUE,66.29,33.71
MADINANI,64.02,35.98
MAFERE,53.27,46.73
MAHANDIANA-SOKOURANI,86.91,13.09
MAHANDOUGOU,100.0,0.0
MAHAPLEU,45.76,54.24
MAMINIGUI,100.0,0.0
MAN,11.59,88.41
MANKONO,64.0,36.0
MARHANDALLAH,100.0,0.0
MASSALA,100.0,0.0
MEAGUI,66.06,33.94
MEDON,100.0,0.0
MEO,100.0,0.0
MINIGNAN,71.17,28.83
MOLONOU,100.0,0.0
MOLONOU-BLE,100.0,0.0
MOROKRO,100.0,0.0
MORONDO,100.0,0.0
N'DOUCI,64.95,35.05
N'DOUFFOUKANKRO,100.0,0.0
N'GATTAKRO,100.0,0.0
N'GOLOBLASSO,100.0,0.0
N'GUESSANKRO,68.92,31.08
N'ZEKRESSESSOU,60.83,39.17
NAFANA,100.0,0.0
NAFANA_PRIKRO,100.0,0.0
NAFOUN,100.0,0.0
NAHIO,100.0,0.0
NAMANE,100.0,0.0
NAPIELEODOUGOU,100.0,0.0
NASSIAN,45.65,54.35
NEBO,100.0,0.0
NIABLE,74.75,25.25
NIAKARAMADOUGOU,66.86,33.14
NIAMBEZARIA,100.0,0.0
NIAMOUE,100.0,0.0
NIDROU,0.0,100.0
NIELLE,45.83,54.17
NIEMENE,100.0,0.0
NIOFOIN,100.0,0.0
NIOKOSSO,100.0,0.0
NIZAHON,38.13,61.87
NOE,56.14,43.86
NOUAMOU,100.0,0.0
ODIENNE,19.75,80.25
OGOUDOU,63.74,36.26
OKROUYO,80.55,19.45
OLODIO,100.0,0.0
ONDEFIDOUO,100.0,0.0
OUANGOLODOUGOU,45.14,54.86
OUANINOU,45.77,54.23
OUELLE,100.0,0.0
OUME,65.68,34.32
OUPOYO,100.0,0.0
OURAGAHIO,56.39,43.61
OUYABLY-GNONDROU,100.0,0.0
PACOBO,100.0,0.0
PAKOUABO,100.0,0.0
PEHE,100.0,0.0
PODIAGOUINE,100.0,0.0
PRIKRO,80.7,19.3
RAVIART,0.0,100.0
RUBINO,50.39,49.61
SABOUDOUGOU,100.0,0.0
SAGO,100.0,0.0
SAIOUA,60.36,39.64
SAKASSOU,100.0,0.0
SAMANGO,100.0,0.0
SAMANZA,100.0,0.0
SAMATIGUILA,100.0,0.0
SAN-PEDRO,34.15,65.85
SANDEGUE,100.0,0.0
SANGOUINE,36.57,63.43
SANTA,58.91,41.09
SANTA DE OUANINOU,100.0,0.0
SARHALA,100.0,0.0
SASSANDRA,61.1,38.9
SATAMA-SOKORO,100.0,0.0
SATAMA-SOKOURA,100.0,0.0
SEDIEGO,100.0,0.0
SEGUELA,44.04,55.96
SEGUELON,100.0,0.0
SEILEU,100.0,0.0
SEITIFLA,100.0,0.0
SEMIEN,100.0,0.0
SERIHIO,100.0,0.0
SIANHALA,100.0,0.0
SIEMPURGO,48.84,51.16
SIFIE,100.0,0.0
SIKENSI,65.25,34.75
SIKOLO,100.0,0.0
SINEMATIALI,100.0,0.0
SINFRA,39.38,60.62
SIPILOU,100.0,0.0
SIRASSO,50.48,49.52
SOKALA-SOBARA,100.0,0.0
SOKORO,100.0,0.0
SONGON,100.0,0.0
SOROBANGO,59.43,40.57
SOUBRE,47.16,52.84
TAABO,100.0,0.0
TABAGNE,100.0,0.0
TABOU,39.84,60.16
TAFIRE,42.5,57.5
TAGADI,100.0,0.0
TAI,100.0,0.0
TANDA,32.7,67.3
TANKESSE,100.0,0.0
TAPEGUIA,100.0,0.0
TCHEDIO,100.0,0.0
TEAPLEU,42.62,57.38
TEHINI,100.0,0.0
TENGRELA,59.03,40.97
TIAPOUM,100.0,0.0
TIASSALE,72.39,27.61
TIBEITA,100.0,0.0
TIE-N'DIEKRO,57.26,42.74
TIEBISSOU,58.53,41.47
TIEME,0.0,100.0
TIEMELEKRO,100.0,0.0
TIENINGBOUE,100.0,0.0
TIENKO,100.0,0.0
TIENKOIKRO,100.0,0.0
TIMBE,100.0,0.0
TINHOU,100.0,0.0
TIORONIARADOUGOU,0.0,100.0
TONLA,100.0,0.0
TORTIYA,0.0,100.0
TOTRODROU,100.0,0.0
TOUBA,39.47,60.53
TOUGBO,100.0,0.0
TOULEPLEU,0.0,100.0
TOUMODI,42.68,57.32
TOUMOUKORO,70.14,29.86
TOUPAH,53.77,46.23
TRANSUA,100.0,0.0
VAVOUA,69.62,30.38
VOUEBOUFLA,100.0,0.0
WOROFLA,100.0,0.0
YAKASSE-ATTOBROU,60.0,40.0
YAKASSE-FEYASSE,100.0,0.0
YAKASSE-ME,0.0,100.0
YAKPABO-SAKASSOU,100.0,0.0
YAMOUSSOUKRO,24.71,75.29
YAOSSEDOUGOU,100.0,0.0
YAOU,0.0,100.0
YEZIMALA,100.0,0.0
YOCOBOUE,52.9,47.1
YOPOHUE,100.0,0.0
YOROBODI,100.0,0.0
YORODOUGOU,100.0,0.0
YOUNDOUO,100.0,0.0
ZAGNE,32.84,67.16
ZAGOUE,100.0,0.0
ZAGUIETA,100.0,0.0
ZAIBO,0.0,100.0
ZANZRA,100.0,0.0
ZARANOU,100.0,0.0
ZEAGLO,0.0,100.0
ZEGO,100.0,0.0
ZIKISSO,100.0,0.0
ZONNEU,100.0,0.0
ZOU,67.86,32.14
ZOUAN-HOUNIEN,51.64,48.36
ZOUKOUGBEU,100.0,0.0
ZUENOULA,59.57,40.43
